Year,POP,URB,GDP,ENGY,FFEC%,NFFEC%,FFEC,NFFEC,CO2E,CO2C,TMPI,TMPA
1960,30.945383405,9.331689319,0.634564959265563,7.50361926465776,0.94,0.06,7.05340210877829,0.450217155879465,9.39,316.91,0.03,-0.115487024
1961,31.353506331,9.609697012,0.661575833786445,7.81586899855413,0.941,0.0590000000000001,7.35473272763944,0.461136270914694,9.42,317.64,0.01,-0.019997388
1962,31.910116379,9.9229429,0.70399823337049,8.23369730390591,0.942,0.058,7.75614286027937,0.477554443626542,9.75,318.45,-0.01,-0.06405444
1963,32.60163141,10.268884459,0.747171856773136,8.56891425383116,0.944,0.056,8.08905505561661,0.479859198214544,10.27,318.99,-0.03,-0.03680589
1964,33.298712504,10.624365351,0.810593851373239,8.98757604025254,0.94,0.06,8.44832147783739,0.539254562415153,10.83,319.62,-0.04,-0.30586675
1965,34.013032169,10.929056801,0.970412369015657,9.24254764796317,0.94,0.06,8.68799478908538,0.55455285887779,11.32,320.04,-0.05,-0.2043879
1966,34.764917974,11.242311545,1.0739448160647,9.50860907907859,0.94,0.06,8.93809253433387,0.570516544744716,11.87,321.37,-0.06,-0.14888458
1967,35.514764369,11.562401349,1.1206393497068,10.1093967311624,0.94,0.06,9.50283292729263,0.606563803869743,12.24,322.18,-0.05,-0.11751631
1968,36.282842348,11.890684468,1.18346324029737,10.7050365943337,0.94,0.06,10.0627343986737,0.642302195660025,12.91,323.05,-0.03,-0.1686323
1969,37.078537544,12.228387899,1.28167748401118,11.5865948211319,0.94,0.06,10.891399131864,0.695195689267913,13.77,324.62,-0.02,-0.031366713
1970,37.891427721,12.572682695,1.62944324507471,26.0379770532144,0.94,0.06,24.4756984300215,1.56227862319286,14.9,325.68,-0.01,-0.08510657
1971,38.731041592,12.933371302,1.83640505391124,26.4840361446642,0.85,0.15,22.5114307229645,3.97260542169962,15.5,326.32,0,-0.20593274
1972,39.55530426,13.300191314,2.12214565124495,28.5771028090036,0.84,0.16,24.004766359563,4.57233644944057,16.22,327.46,0,-0.0938271
1973,40.378311604,13.682510922,2.6511392969225,27.9826692580596,0.85,0.15,23.7852688693506,4.19740038870894,17.08,329.68,0,0.04993336
1974,41.196633916,14.080698032,3.38119402862974,26.7990575453447,0.84,0.16,22.5112083380895,4.28784920725515,17.01,330.19,0.01,-0.17253734
1975,42.001056515,14.456149539,3.99947740817879,27.8706351331841,0.83,0.17,23.1326271605428,4.7380079726413,17.05,331.13,0.02,-0.11075424
1976,42.797461156,14.851691957,4.34733565361818,28.4676080799851,0.84,0.16,23.9127907871875,4.55481729279762,17.98,332.03,0.04,-0.21586166
1977,43.589252147,15.25221365,4.84503472489378,28.7901186691762,0.84,0.16,24.183699682108,4.60641898706819,18.49,333.84,0.07,0.10308852
1978,44.394841462,15.697846482,5.45934950984013,30.2148230069068,0.83,0.17,25.0783030957327,5.13651991117416,19.07,335.41,0.12,0.0052557723
1979,45.220086596,16.187720091,6.53310599489151,30.4443712175757,0.83,0.17,25.2688281105878,5.17554310698787,19.61,336.84,0.16,0.09085813
1980,46.055692912,16.691809964,8.00175793830114,30.2741620108574,0.83,0.17,25.1275544690117,5.14660754184577,19.49,338.76,0.2,0.19607207
1981,46.913849288,17.216409744,7.81825937705724,30.5848007472222,0.82,0.18,25.0795366127222,5.50526413449999,19.03,340.12,0.21,0.25001204
1982,47.807388332,17.743629603,7.50782118414334,30.469845650506,0.81,0.19,24.6805749769098,5.78927067359614,18.88,341.48,0.22,0.034263328
1983,48.711794434,18.266090808,7.20032743133411,30.5019343000008,0.8,0.2,24.4015474400006,6.10038686000016,19,343.15,0.21,0.22383861
1984,49.61593935,18.802002987,7.129506388628,30.2994683067835,0.8,0.2,24.2395746454268,6.05989366135669,19.66,344.87,0.21,0.04800471
1985,50.537896994,19.353697133,7.17255355679505,30.6493182193542,0.79,0.21,24.2129613932898,6.43635682606438,20.32,346.35,0.22,0.04972978
1986,51.486910455,19.923813879,8.36630037183776,30.9689918560193,0.79,0.21,24.4655035662552,6.50348828976405,20.62,347.61,0.24,0.09568697
1987,52.46156057,20.51112192,9.73742974531665,31.2929876339977,0.79,0.21,24.7214602308582,6.57152740313952,21.27,349.31,0.27,0.2430264
1988,53.447173644,21.110002932,10.7018925344293,31.8305067293792,0.79,0.21,25.1461003162095,6.68440641316963,22.1,351.69,0.31,0.28215173
1989,54.43196441,21.709778934,10.9869418300699,41.6056405382532,0.79,0.21,32.86845602522,8.73718451303318,22.41,353.2,0.33,0.17925027
1990,55.42987419,22.32544824,13.0359579635197,38.9458268742128,0.81,0.19,31.5461197681124,7.39970710610044,22.75,354.45,0.33,0.36056247
1991,56.405748583,22.939154395,13.1892386328216,37.7794908167707,0.8,0.2,30.2235926534166,7.55589816335414,23.24,355.7,0.33,0.33889654
1992,57.354211146,23.540666084,13.8858063463395,37.3470440052969,0.8,0.2,29.8776352042376,7.46940880105939,22.57,356.54,0.33,0.124896795
1993,58.304912689,24.156608473,13.5077020735257,37.161628490117,0.8,0.2,29.7293027920936,7.4323256980234,22.8,357.21,0.33,0.16565846
1994,59.245804422,24.772395189,14.3807148411268,38.2600435006069,0.8,0.2,30.6080348004855,7.65200870012137,22.96,358.96,0.34,0.23354977
1995,60.185262558,25.398694386,16.9816486759821,38.9802457832458,0.8,0.2,31.1841966265967,7.79604915664917,23.45,360.97,0.37,0.37686616
1996,61.11281987,26.022433892,17.5139205865592,40.0474152791039,0.8,0.2,32.0379322232831,8.00948305582078,24.15,362.74,0.4,0.2766894
1997,62.038734864,26.655254224,17.230489249738,40.3766081603362,0.8,0.2,32.301286528269,8.07532163206724,24.3,363.88,0.42,0.4223085
1998,62.955828498,27.294773985,17.9104967461064,40.0951180140054,0.8,0.2,32.0760944112043,8.01902360280108,24.21,366.84,0.44,0.57731646
1999,63.861356581,27.938922086,18.7554358257931,40.9574031459808,0.8,0.2,32.7659225167847,8.19148062919616,24.52,368.54,0.47,0.32448497
2000,64.760797124,28.592417542,18.8914660635132,41.9065276803065,0.8,0.2,33.5252221442452,8.3813055360613,25.23,369.71,0.5,0.3310848
2001,65.656952456,29.291245732,18.8508016292813,42.1890767215848,0.8,0.2,33.7512613772679,8.43781534431696,25.45,371.32,0.52,0.48928034
2002,66.552817429,30.029650039,20.7223464080758,43.089725245715,0.8,0.2,34.471780196572,8.61794504914299,26.04,373.45,0.55,0.5434665
2003,67.452788973,30.78239673,23.7726217699987,46.4043895315028,0.8,0.2,37.1235116252022,9.28087790630055,27.37,375.98,0.58,0.5441702
2004,68.3588804,31.549760889,27.0639896192088,46.5325710984312,0.81,0.19,37.6913825897293,8.84118850870192,28.63,377.7,0.61,0.46737072
2005,69.271823395,32.332487392,29.2586102011043,47.7448998001587,0.81,0.19,38.6733688381285,9.07153096203014,29.6,379.98,0.62,0.60686255
2006,70.191932195,33.122257644,32.7768100159366,48.2029221166019,0.81,0.19,39.0443669144476,9.15855520215436,30.58,382.09,0.62,0.5725527
2007,71.118201702,33.915760941,37.3366444380694,45.8360320252199,0.81,0.19,37.1271859404281,8.70884608479177,31.49,384.02,0.63,0.5917013
2008,72.059024866,34.738312521,40.1894280423441,44.1867094132532,0.81,0.19,35.7912346247351,8.3954747885181,32.07,385.83,0.64,0.46564984
2009,73.003866809,35.570640934,35.8740110461304,45.4621036572821,0.81,0.19,36.8243039623985,8.63779969488359,31.61,387.64,0.64,0.5967817
2010,73.952161662,36.413411802,37.7757541931771,45.4758137556813,0.81,0.19,36.8354091421018,8.64040461357944,33.34,390.1,0.64,0.68037146
2011,74.907377203,37.244015304,42.0607018598296,45.4152283714357,0.81,0.19,36.7863349808629,8.62889339057278,34.47,391.85,0.66,0.53769773
2012,75.897414399,38.096476435,41.494593366867,44.9349482653882,0.81,0.19,36.3973080949644,8.53764017042376,34.97,394.06,0.69,0.5776071
2013,76.902384758,38.965512733,43.0399791763987,44.2163325216906,0.81,0.19,35.8152293425693,8.4011031791212,35.28,396.74,0.74,0.6235754
2014,77.910620148,39.84712704,44.0579480372064,47.3176230005264,0.81,0.19,39.0457707027435,8.2998909154892,35.53,398.81,0.78,0.67287165
2015,78.916920405,40.740979327,39.7293919459066,47.6973993387222,0.8,0.2,39.5506659091949,8.18090257873535,35.5,401.01,0.83,0.82511437
2016,79.927585952,41.646429375,40.0168865274399,48.0839878713608,0.819616274256987,0.180670858322628,40.0776565486908,8.04717920322418,35.45,404.41,0.87,0.93292713
2017,80.941863102,42.561442149,42.0863155766443,48.4785684717178,0.821574254321604,0.178773412526425,40.6281815387726,7.89848099994659,35.93,406.76,0.91,0.84517425
2018,81.934806999,43.469888152,44.5456163225247,48.8823210119247,0.823542968220863,0.176870456509278,41.2036797939301,7.73456818084717,36.65,408.72,0.92,0.762654
2019,82.907215551,44.371690984,43.9220251339856,49.2964253675461,0.82551423750192,0.174970345900874,41.8055902347565,7.55520095672608,36.7,411.66,0.93,0.8910726
2020,83.865774745,45.271304967,38.0569589631875,49.7220614091873,0.827479883711931,0.173081436345456,42.4353517734528,7.36013953914642,34.81,414.24,0.93,0.9227938
2021,84.767584144,46.133838462,34.618792228895,50.1604090112686,0.829431728405325,0.171212083469072,43.0944033283234,7.14914413909912,36.4,416.45,0.94,0.7618559
